user,sex,age,provider,level,verified,using_time,regist_type,card_a_cnt,card_b_cnt,card_c_cnt,agreement1,op1_cnt,op2_cnt,card_d_cnt,agreement_total,service1_cnt,service1_amt,service2_cnt,agreement2,agreement3,agreement4,acc_count,login_cnt_period1,login_cnt_period2,ip_cnt,login_cnt_avg,login_days_cnt,balance,balance_avg,balance1,balance1_avg,balance2,balance2_avg,service3,product1_amount,product2_amount,product3_amount,product4_amount,product5_amount,product6_amount,product7_cnt,product7_fail_cnt
10,0,24901,0,2,0,24724,1,24706,24706,24706,0,24712,24712,24706,24719,24706,24706,24706,0,0,0,24725,24785,24785,24719,24785,24712,5,4,1,1,5,5,-1,1,1,1,0,0,1,24712,24712
11,0,24908,0,2,0,24715,2,24712,24712,24706,0,24719,24712,24706,24755,24706,24706,24706,1,0,0,24731,25449,25151,24761,24755,24761,13,12,2,2,14,5,-1,2,11,1,0,0,17,24731,24731
12,0,24901,0,2,0,24715,3,24712,24712,24706,0,24712,24706,24706,24749,24706,24706,24706,1,0,0,24719,25474,25145,24785,24737,24791,13,13,3,3,14,5,-1,2,11,1,0,0,3,24712,24706
13,0,24853,0,2,0,24713,2,24712,24712,24706,0,24719,24719,24706,24749,24706,24706,24706,1,0,0,24725,25443,24865,24761,24719,24761,19,18,10,9,20,5,-1,2,17,1,0,0,12,24712,24706
14,0,24925,0,2,0,24716,1,24712,24712,24706,0,24712,24712,24706,24737,24706,24706,24706,1,0,0,24719,24840,24822,24749,24725,24743,3,4,1,1,4,5,-1,1,1,1,0,0,1,24712,24712
15,0,24938,0,1,0,24726,1,24712,24712,24706,0,24712,24712,24706,24737,24706,24706,24706,1,0,1,24737,25120,24804,24731,24731,24731,13,10,1,1,14,5,-1,1,1,1,0,0,1,24712,24712
16,1,24871,0,2,0,24734,7,24712,24712,24706,0,24737,24712,24706,24749,24706,24706,24706,1,0,0,24731,27232,26130,24853,24767,24840,8,17,13,12,8,5,-1,2,8,1,0,0,12,24712,24706
17,1,24925,0,2,0,24741,7,24731,24731,24706,0,24719,24712,24712,24774,24706,24706,24706,1,1,1,24731,27317,25546,25072,24719,25041,20,21,20,21,7,5,-1,2,19,1,0,0,21,24706,24706
18,0,24871,0,2,0,24711,1,24719,24712,24712,0,24719,24712,24706,24737,24706,24706,24706,1,0,0,24719,25565,25267,24761,24755,24774,1,12,1,1,1,5,-1,1,1,1,0,0,1,24719,24712
19,0,24901,0,2,0,24723,1,24712,24712,24706,0,24725,24712,24706,24737,24706,24706,24706,0,0,0,24743,26591,26299,24810,24749,24914,5,4,1,1,6,5,-1,1,1,1,0,0,1,24712,24706
20,1,24993,0,2,0,24730,1,24712,24712,24706,0,24780,24731,24706,24767,24706,24706,24706,1,1,1,24725,28729,27262,24931,24804,24865,21,21,21,21,2,5,-1,2,20,1,0,0,20,24712,24706
21,1,24986,0,2,0,24720,2,24719,24719,24706,0,24725,24719,24706,24774,24706,24706,24706,1,1,0,24767,29505,28240,24931,24804,24920,14,15,15,15,14,5,-1,2,12,1,0,0,11,24712,24706
22,0,24908,0,2,0,24731,7,24712,24712,24706,0,24712,24712,24706,24719,24706,24706,24706,0,0,0,24725,24999,24999,24749,24755,24743,9,10,1,1,10,5,-1,1,1,1,0,0,1,24712,24706
23,0,24871,0,2,0,24712,1,24712,24712,24706,0,24712,24712,24706,24737,24706,24706,24706,1,0,0,24712,26033,26033,24822,24780,24816,20,16,20,17,16,5,-1,1,1,1,0,0,1,24712,24706
24,1,24895,0,2,0,24739,7,24731,24731,24706,0,24731,24706,24719,24785,24706,24706,24706,1,1,1,24749,30015,26372,25060,24731,25078,1,21,1,21,1,5,2,3,20,3,0,0,21,24712,24706
25,0,24883,0,1,0,24707,3,24712,24712,24706,0,24706,24706,24706,24737,24706,24706,24706,1,0,0,24725,25406,25406,24767,24804,24749,14,14,1,1,16,5,-1,1,1,1,0,0,1,24712,24706
26,0,24889,0,1,0,24710,1,24712,24712,24706,0,24712,24712,24706,24755,24706,24706,24706,1,0,0,24743,25765,24993,24755,24737,24755,14,7,1,1,15,5,-1,1,1,1,0,0,1,24706,24706
27,0,24895,0,2,0,24714,1,24712,24712,24706,0,24712,24712,24706,24743,24706,24706,24706,1,0,0,24712,25559,25205,24774,24761,24761,4,8,1,14,5,5,-1,1,1,1,0,0,1,24712,24706
28,0,24950,0,2,0,24725,1,24712,24712,24706,0,24731,24725,24706,24743,24706,24706,24706,1,0,0,24737,25705,25705,24785,24791,24774,15,9,9,15,16,2,-1,1,1,1,0,0,1,24712,24706
29,0,24846,0,2,0,24718,3,24712,24712,24706,0,24712,24712,24706,24737,24706,24706,24706,0,0,0,24712,25383,25383,24780,24749,24798,3,2,1,1,3,5,-1,1,1,1,0,0,1,24712,24712
30,0,24908,0,2,0,24733,7,24712,24712,24706,0,24712,24706,24706,24725,24706,24706,24706,0,0,0,24731,24883,24883,24755,24725,24755,9,10,1,1,10,5,-1,1,1,1,0,0,1,24712,24706
31,0,25005,0,2,0,24729,1,24719,24719,24706,0,24712,24719,24706,24743,24706,24706,24706,1,1,0,24712,35578,35578,25309,24853,25158,1,1,1,1,1,1,-1,2,16,1,0,0,4,24712,24712
32,1,24920,0,2,0,24729,1,24725,24725,24706,0,24749,24719,24719,24755,24706,24706,24706,1,1,0,24712,34315,27474,24889,24791,24895,20,21,20,21,1,5,3,3,19,3,0,0,16,24712,24706
33,0,24908,0,2,0,24748,7,24712,24712,24706,0,24719,24706,24706,24755,24706,24706,24706,0,1,0,24737,25717,25169,24785,24749,24767,5,8,11,14,1,1,-1,2,5,1,0,0,2,24712,24706
34,0,24846,0,2,0,24714,1,24712,24712,24706,0,24712,24712,24712,24755,24706,24706,24706,1,0,0,24725,25260,24877,24761,24719,24780,1,1,1,1,1,1,-1,1,1,1,0,0,1,24749,24749
35,1,24895,0,1,0,24721,1,24712,24712,24706,0,24712,24712,24706,24749,24706,24706,24706,1,1,0,24743,25771,25771,24780,24767,24804,2,2,1,1,2,5,-1,1,1,1,0,0,1,24706,24706
36,0,24865,0,2,0,24717,1,24712,24712,24706,0,24712,24712,24706,24755,24706,24706,24706,1,1,0,24725,25169,24798,24737,24725,24737,5,17,1,5,6,5,-1,2,5,1,0,0,12,24706,24706
37,1,24956,0,2,0,24728,1,24712,24712,24706,0,24719,24712,24706,24743,24706,24706,24706,1,0,0,24725,24980,24737,24712,24737,24712,20,20,11,10,20,5,-1,2,18,1,0,0,14,24719,24712
38,0,24889,0,1,0,24708,3,24712,24712,24706,0,24706,24706,24706,24731,24706,24706,24706,0,1,0,24737,25796,25468,24798,24749,24804,6,5,9,8,6,5,-1,1,1,1,0,0,1,24719,24719
39,0,25011,0,2,0,24720,1,24719,24719,24706,0,24719,24712,24706,24731,24706,24706,24706,0,1,0,24719,27274,26912,24871,24767,24914,18,18,19,19,2,5,-1,1,1,1,0,0,1,24712,24706
40,0,24840,0,2,0,24709,1,24712,24712,24706,0,24712,24712,24706,24749,24706,24706,24706,1,0,0,24743,24871,24871,24719,24871,24712,21,8,20,14,10,2,-1,1,1,1,0,0,1,24706,24706
41,0,24877,0,2,0,24741,7,24712,24712,24706,0,24712,24712,24712,24749,24706,24706,24706,0,0,0,24719,25345,24914,24719,24755,24731,14,15,3,3,16,5,-1,2,12,1,0,0,1,24712,24706
42,0,24883,0,2,0,24732,7,24712,24712,24706,0,24719,24706,24706,24725,24706,24706,24706,0,0,0,24719,25029,25029,24749,24743,24755,1,3,1,1,1,3,-1,1,1,1,0,0,1,24712,24712
43,0,24883,0,2,0,24723,1,24719,24719,24706,0,24712,24719,24706,24743,24706,24706,24706,0,0,0,24719,26088,25438,24822,24767,24774,15,16,17,17,1,1,-1,2,13,1,0,0,13,24712,24706
44,0,24925,0,2,0,24711,2,24712,24712,24706,0,24725,24712,24706,24737,24706,24706,24706,1,0,0,24719,25796,25114,24798,24731,24791,14,12,1,1,15,5,-1,1,1,1,0,0,1,24706,24706
45,0,24980,2,1,0,24708,3,24712,24712,24706,0,24706,24706,24706,24737,24706,24706,24706,0,1,0,24749,26184,26130,24889,24719,25194,1,1,1,1,1,1,-1,1,1,1,0,0,1,24706,24706
46,0,24925,0,1,1,24737,7,24706,24706,24706,0,24706,24706,24706,24706,24706,24706,24706,0,0,0,24725,24706,24706,24706,24706,24706,4,4,1,1,5,5,-1,1,1,1,0,0,1,24706,24706
47,0,24931,0,2,0,24728,3,24719,24719,24706,0,24719,24712,24706,24761,24706,24706,24706,1,1,0,24719,26360,24956,24731,24767,24731,19,19,19,19,10,2,-1,2,17,1,0,0,13,24737,24737
48,1,24889,0,2,0,24729,1,24712,24712,24706,0,24712,24712,24706,24737,24706,24706,24706,1,0,1,24712,24901,24810,24743,24725,24737,21,15,20,17,16,3,-1,1,1,1,0,0,1,24712,24706
49,1,24895,0,2,0,24721,1,24712,24719,24706,0,24737,24712,24706,24755,24706,24706,24706,1,0,0,24712,26584,25163,24816,24731,24810,15,15,11,10,16,5,-1,2,12,1,0,0,3,24731,24725
50,0,24883,0,2,0,24709,1,24712,24712,24706,0,24725,24719,24706,24731,24706,24706,24706,0,1,0,24725,31649,30452,25011,24810,25035,14,21,17,21,1,1,-1,1,1,1,0,0,1,24712,24706
51,1,24901,0,2,0,24742,7,24712,24712,24706,0,24719,24706,24712,24774,24706,24706,24706,1,1,0,24725,26681,25236,24871,24731,24816,14,17,17,18,7,5,0,2,12,1,0,0,19,24712,24706
52,0,24956,0,2,0,24737,7,24719,24719,24706,0,24743,24706,24706,24774,24706,24706,24706,1,1,0,24737,27879,25813,24846,24761,24822,19,20,19,11,17,5,-1,2,17,1,0,0,18,24712,24706
53,0,24871,0,2,0,24726,1,24712,24712,24706,0,24737,24712,24706,24743,24706,24706,24706,1,0,0,24719,26821,25911,24865,24761,24834,1,9,1,15,1,2,-1,1,1,1,0,0,1,24731,24731
54,0,24931,0,2,0,24720,1,24712,24712,24706,0,24712,24712,24706,24737,24706,24706,24706,0,0,0,24731,25254,24944,24743,24743,24743,9,10,1,1,10,5,-1,1,1,1,0,0,1,24712,24706
55,0,24853,0,2,0,24720,1,24712,24712,24706,0,24731,24731,24706,24761,24706,24706,24706,1,1,0,24725,25267,24901,24798,24719,24791,7,7,14,13,1,1,-1,2,6,1,0,0,14,24719,24712
56,0,24895,0,2,0,24715,1,24725,24719,24712,0,24712,24712,24706,24780,24706,24706,24706,1,1,0,24743,28795,27698,24944,24798,24895,8,7,1,1,8,5,-1,2,7,1,0,0,1,24712,24706
57,0,24853,0,2,0,24720,3,24725,24712,24719,0,24706,24706,24712,24755,24706,24706,24706,1,0,0,24719,29360,25474,24761,24774,24774,16,16,18,17,7,5,0,2,14,1,0,0,13,24725,24725
58,0,24914,0,2,0,24722,2,24712,24712,24706,0,24712,24712,24706,24725,24706,24706,24706,0,0,0,24731,24908,24908,24731,24774,24725,5,4,9,8,4,5,-1,1,1,1,0,0,1,24712,24706
59,0,24895,0,1,0,24713,1,24712,24712,24706,0,24719,24712,24706,24737,24706,24706,24706,1,0,0,24725,25529,25498,24810,24755,24798,12,19,1,1,13,5,-1,1,1,1,0,0,1,24712,24706
60,1,24871,0,2,0,24725,1,24706,24706,24706,0,24719,24712,24706,24731,24706,24706,24706,0,1,0,24712,24846,24846,24737,24731,24737,4,4,1,1,5,5,-1,2,4,1,0,0,1,24706,24706
61,0,25011,0,2,0,24722,1,24712,24712,24706,0,24719,24712,24706,24719,24706,24706,24706,0,0,0,24719,25035,24816,24712,24761,24719,1,1,1,1,1,1,-1,1,1,1,0,0,1,24712,24712
62,0,24895,0,1,0,24718,1,24719,24719,24706,0,24712,24712,24706,24743,24706,24706,24706,0,0,0,24737,28536,27154,24938,24755,25011,4,3,1,1,4,5,-1,1,1,1,0,0,1,24712,24706
63,0,24877,0,2,0,24713,3,24712,24712,24706,0,24706,24706,24706,24749,24706,24706,24706,1,0,0,24712,26232,25200,24785,24743,24780,4,3,3,3,4,5,-1,2,3,1,0,0,3,24737,24731
64,1,24853,2,1,0,24709,3,24712,24712,24706,0,24706,24706,24706,24731,24706,24706,24706,0,0,0,24719,24944,24914,24737,24743,24737,1,1,1,1,1,1,-1,1,1,1,0,0,1,24706,24706
65,0,24944,0,2,0,24736,7,24712,24712,24706,0,24731,24712,24706,24731,24706,24706,24706,0,0,0,24737,25345,25279,24755,24774,24755,4,4,4,4,4,5,-1,2,4,1,0,0,1,24706,24706
66,1,24889,0,2,0,24747,7,24725,24725,24706,0,24737,24712,24712,24780,24706,24706,24706,1,1,1,24859,33740,26457,24859,24731,25114,21,21,21,21,18,5,2,2,20,1,0,0,20,24706,24706
67,0,24986,0,2,0,24726,1,24712,24712,24706,0,24712,24712,24706,24725,24706,24706,24706,0,0,0,24749,24810,24810,24725,24755,24719,6,4,1,1,7,3,-1,1,1,1,0,0,1,24712,24712
68,0,24853,0,2,0,24711,3,24712,24712,24706,0,24731,24712,24706,24749,24706,24706,24706,1,0,0,24737,26081,25267,24908,24725,24889,15,10,1,1,17,5,-1,1,1,1,0,0,1,24712,24706
69,1,24871,0,2,0,24739,7,24712,24712,24706,0,24712,24712,24706,24731,24706,24706,24706,0,0,0,24719,24871,24871,24749,24719,24767,12,12,1,1,13,5,-1,1,1,1,0,0,1,24712,24706
70,0,24901,2,2,0,24725,3,24725,24719,24712,0,24725,24712,24712,24774,24706,24706,24706,0,0,0,24719,27390,25205,24908,24719,24908,5,4,10,10,1,1,-1,3,5,3,0,0,8,24712,24706
71,0,24925,0,2,0,24724,1,24712,24712,24706,0,24719,24725,24706,24749,24706,24706,24706,1,0,0,24731,27595,26166,24859,24780,24829,16,16,8,8,17,5,-1,1,1,1,0,0,13,24719,24712
72,0,24999,0,1,0,24742,7,24719,24719,24706,0,24712,24712,24706,24731,24706,24706,24706,1,0,1,24737,25711,25480,24798,24761,24785,20,20,20,19,17,5,-1,1,1,1,0,0,1,24719,24712
73,0,24877,0,2,0,24726,1,24712,24712,24706,0,24749,24719,24706,24761,24706,24706,24706,1,0,1,24737,25911,25328,24785,24749,24791,1,1,1,1,1,1,-1,1,1,1,0,0,1,24712,24706
74,1,24901,0,2,0,24718,1,24706,24706,24706,0,24712,24712,24706,24743,24706,24706,24706,1,0,0,24737,25054,24908,24749,24755,24731,18,18,18,18,16,5,-1,2,16,1,0,0,13,24706,24706
75,0,25005,0,2,0,24709,3,24719,24719,24706,0,24712,24706,24706,24737,24706,24706,24706,0,0,0,24719,25540,25358,24840,24743,24810,9,10,1,1,10,5,-1,1,1,1,0,0,1,24712,24706
76,0,24914,0,1,0,24729,1,24712,24712,24706,0,24719,24712,24706,24749,24706,24706,24706,0,0,1,24725,25315,25291,24780,24767,24761,1,1,1,1,1,1,-1,1,1,1,0,0,1,24706,24706
77,0,25005,0,1,0,24731,1,24719,24719,24706,0,24719,24712,24706,24725,24706,24706,24706,0,0,0,24731,25911,25334,24761,24761,24774,2,2,1,1,3,5,-1,1,1,1,0,0,1,24712,24706
78,0,24956,0,1,0,24712,1,24719,24719,24706,0,24731,24719,24706,24761,24706,24706,24706,1,1,0,24725,27595,25729,24889,24731,24925,18,17,1,1,19,5,-1,1,1,1,0,0,1,24743,24737
79,0,24883,0,1,0,24724,1,24712,24712,24706,0,24712,24712,24706,24725,24706,24706,24706,0,0,0,24725,25096,25090,24761,24749,24761,2,2,4,4,1,1,-1,1,1,1,0,0,1,24706,24706
80,0,24877,0,2,0,24715,1,24719,24719,24706,0,24712,24719,24706,24761,24706,24706,24706,1,0,0,24719,26451,25491,24871,24737,24840,16,8,1,1,17,5,-1,2,13,1,0,0,1,24712,24706
81,0,24877,0,1,1,24717,1,24706,24706,24706,0,24706,24706,24706,24712,24706,24706,24706,0,0,0,24737,24706,24706,24706,24706,24706,1,1,1,1,1,1,-1,1,1,1,0,0,1,24706,24706
82,0,24859,0,2,0,24711,2,24712,24712,24706,0,24712,24712,24706,24743,24706,24706,24706,1,0,0,24725,25614,24840,24725,24749,24725,18,18,1,1,19,5,-1,1,1,1,0,0,1,24712,24712
83,1,24908,0,1,0,24728,2,24712,24712,24706,0,24712,24712,24706,24737,24706,24706,24706,1,1,0,24712,24877,24865,24774,24719,24761,17,20,1,1,18,5,-1,1,1,1,0,0,1,24712,24706
84,1,24999,0,2,0,24738,7,24719,24712,24712,0,24712,24706,24712,24737,24706,24706,24706,0,0,1,24731,25522,24871,24743,24737,24737,2,2,1,1,2,5,0,2,2,1,0,0,1,24712,24706
85,0,24993,0,1,1,24736,7,24706,24706,24706,0,24712,24706,24706,24706,24706,24706,24706,0,0,0,24719,24712,24712,24712,24712,24712,3,2,1,1,3,5,-1,1,1,1,0,0,1,24706,24706
86,0,24920,0,2,0,24713,1,24712,24712,24706,0,24712,24712,24706,24749,24706,24706,24706,1,1,0,24719,25236,24999,24755,24743,24755,11,17,1,1,13,5,-1,1,1,1,0,0,1,24719,24712
87,1,25005,0,2,0,24737,7,24719,24719,24706,0,24731,24706,24712,24774,24706,24706,24706,1,1,0,24725,27698,25680,24859,24743,24865,17,19,19,19,1,5,2,3,14,3,0,0,8,24706,24706
88,0,24895,0,2,0,24736,7,24712,24712,24706,0,24712,24712,24706,24725,24706,24706,24706,0,0,0,24725,25760,25760,24816,24774,24798,1,1,1,1,1,1,-1,1,1,1,0,0,1,24712,24706
89,0,24877,0,1,0,24707,1,24712,24712,24706,0,24712,24712,24706,24743,24712,42553,24712,1,0,0,24719,24969,24969,24731,24791,24725,1,1,1,1,1,1,-1,1,1,1,0,0,1,24706,24706
90,1,24963,2,1,0,24706,3,24712,24712,24706,0,24706,24706,24706,24731,24706,24706,24706,0,0,0,24712,24865,24865,24712,24755,24725,1,1,1,1,1,1,-1,1,1,1,0,0,1,24706,24706
91,0,24883,0,2,0,24729,1,24725,24725,24712,0,24737,24725,24706,24755,24706,24706,24706,0,1,0,24731,25904,25383,24804,24749,24798,8,7,15,13,1,1,-1,2,7,1,0,0,1,24712,24706
92,0,24871,0,2,0,24728,1,24712,24712,24706,0,24712,24712,24706,24719,24706,24706,24706,0,0,0,24731,24877,24877,24725,24791,24719,11,11,2,2,10,5,-1,1,1,1,0,0,1,24712,24706
93,0,24889,0,2,0,24726,1,24712,24706,24712,0,24712,24712,24706,24725,24706,24706,24706,1,0,0,24712,25029,24810,24749,24719,24749,6,9,1,1,7,5,-1,1,1,1,0,0,1,24706,24706
94,0,24865,0,2,0,24715,3,24725,24725,24706,0,24731,24712,24706,24761,24706,24706,24706,1,0,0,24725,25298,24938,24774,24725,24767,19,18,8,7,20,5,-1,2,17,1,0,0,8,24706,24706
95,0,25035,2,1,0,24706,3,24712,24712,24706,0,24706,24706,24706,24725,24706,24706,24706,0,0,0,24712,24774,24774,24719,24774,24712,1,1,1,1,1,1,-1,1,1,1,0,0,1,24712,24706
96,0,24925,0,2,0,24731,7,24712,24712,24712,0,24712,24712,24706,24761,24706,24706,24706,1,1,0,24725,25851,25485,24767,24749,24810,19,20,12,12,20,5,-1,2,17,1,0,0,18,24712,24706
97,0,24980,0,1,0,24717,1,24712,24712,24706,0,24719,24719,24706,24737,24706,24706,24706,1,0,0,24737,26166,25120,24785,24749,24761,15,15,1,1,16,5,-1,1,1,1,0,0,1,24712,24706
98,1,24969,0,2,0,24711,1,24712,24712,24706,0,24719,24712,24706,24731,24706,24706,24706,1,0,0,24737,25443,25158,24737,24780,24743,20,20,1,1,21,5,-1,1,1,1,0,0,1,24712,24706
99,0,24859,0,2,0,24714,1,24719,24719,24706,0,24712,24712,24706,24749,24706,24706,24706,1,1,0,24737,28131,26403,24780,24767,24865,17,18,9,8,18,5,-1,2,15,1,0,0,15,24725,24719
100,0,24914,0,2,0,24728,1,24712,24712,24706,0,24719,24712,24706,24761,24706,24706,24706,1,0,1,24725,25218,25048,24767,24737,24767,16,14,1,1,18,5,-1,1,1,1,0,0,1,24712,24706
